,Name,Points,Assists,OffensiveRebounds,Position,Season
4287,Chris Webber,0.8571428571428571,0.42857142857142855,0.5,PF,2001.0
4288,Chris Webber,0.5238095238095238,0.42857142857142855,0.25,PF,2002.0
4289,Chris Webber,0.6190476190476191,0.5714285714285714,0.25,PF,2003.0
4291,Chris Webber,0.47619047619047616,0.42857142857142855,0.25,PF,2005.0
4294,Chris Webber,0.6190476190476191,0.42857142857142855,0.5,PF,2006.0
4323,Chris Wilcox,0.38095238095238093,0.14285714285714285,0.5,PF,2007.0
4353,Christian Laettner,0.09523809523809523,0.2857142857142857,0.25,PF,2003.0
4489,Clarence Weatherspoon,0.2857142857142857,0.14285714285714285,0.5,PF,2001.0
4491,Clarence Weatherspoon,0.047619047619047616,0.0,0.5,PF,2003.0
4615,Clifford Robinson,0.5238095238095238,0.2857142857142857,0.25,PF,2001.0
4616,Clifford Robinson,0.42857142857142855,0.2857142857142857,0.0,PF,2002.0
4617,Clifford Robinson,0.3333333333333333,0.42857142857142855,0.0,PF,2003.0
4618,Clifford Robinson,0.2857142857142857,0.42857142857142855,0.0,PF,2004.0
4801,Corey Maggette,0.5238095238095238,0.2857142857142857,0.25,PF,2010.0
5337,Danny Fortson,0.23809523809523808,0.14285714285714285,0.75,PF,2002.0
5427,Dante Cunningham,0.14285714285714285,0.0,0.25,PF,2013.0
5436,Dario Saric,0.3333333333333333,0.2857142857142857,0.25,PF,2017.0
5865,David Lee,0.23809523809523808,0.14285714285714285,0.5,PF,2008.0
5868,David Lee,0.42857142857142855,0.2857142857142857,0.5,PF,2011.0
5869,David Lee,0.38095238095238093,0.14285714285714285,0.5,PF,2012.0
5870,David Lee,0.5714285714285714,0.42857142857142855,0.5,PF,2013.0
5871,David Lee,0.47619047619047616,0.14285714285714285,0.5,PF,2014.0
5942,David West,0.47619047619047616,0.14285714285714285,0.5,PF,2006.0
5944,David West,0.6666666666666666,0.2857142857142857,0.5,PF,2008.0
5945,David West,0.6666666666666666,0.2857142857142857,0.25,PF,2009.0
5946,David West,0.6190476190476191,0.2857142857142857,0.5,PF,2010.0
5947,David West,0.5238095238095238,0.2857142857142857,0.25,PF,2011.0
5949,David West,0.47619047619047616,0.2857142857142857,0.25,PF,2013.0
5950,David West,0.38095238095238093,0.2857142857142857,0.25,PF,2014.0
6337,Derrick Coleman,0.47619047619047616,0.2857142857142857,0.25,PF,2000.0
6339,Derrick Coleman,0.23809523809523808,0.14285714285714285,0.5,PF,2002.0
6354,Derrick Favors,0.2857142857142857,0.14285714285714285,0.5,PF,2014.0
6355,Derrick Favors,0.42857142857142855,0.14285714285714285,0.5,PF,2015.0
6746,Dirk Nowitzki,0.5714285714285714,0.2857142857142857,0.25,PF,2000.0
6747,Dirk Nowitzki,0.7619047619047619,0.2857142857142857,0.25,PF,2001.0
6749,Dirk Nowitzki,0.9047619047619048,0.2857142857142857,0.0,PF,2003.0
6751,Dirk Nowitzki,0.9047619047619048,0.2857142857142857,0.25,PF,2005.0
6752,Dirk Nowitzki,1.0,0.2857142857142857,0.25,PF,2006.0
6753,Dirk Nowitzki,0.8571428571428571,0.42857142857142855,0.25,PF,2007.0
6754,Dirk Nowitzki,0.8095238095238095,0.42857142857142855,0.25,PF,2008.0
6755,Dirk Nowitzki,0.9523809523809523,0.2857142857142857,0.25,PF,2009.0
6756,Dirk Nowitzki,0.9047619047619048,0.2857142857142857,0.0,PF,2010.0
6757,Dirk Nowitzki,0.7142857142857143,0.2857142857142857,0.0,PF,2011.0
6758,Dirk Nowitzki,0.5238095238095238,0.14285714285714285,0.0,PF,2012.0
6760,Dirk Nowitzki,0.7619047619047619,0.2857142857142857,0.0,PF,2014.0
6761,Dirk Nowitzki,0.5238095238095238,0.14285714285714285,0.0,PF,2015.0
6762,Dirk Nowitzki,0.5238095238095238,0.14285714285714285,0.0,PF,2016.0
7027,Donatas Motiejunas,0.23809523809523808,0.14285714285714285,0.25,PF,2015.0
7075,Donyell Marshall,0.2857142857142857,0.2857142857142857,0.5,PF,2000.0
7078,Donyell Marshall,0.3333333333333333,0.14285714285714285,0.5,PF,2003.0
7079,Donyell Marshall,0.42857142857142855,0.14285714285714285,0.5,PF,2004.0
7081,Donyell Marshall,0.38095238095238093,0.14285714285714285,0.5,PF,2004.0
7083,Donyell Marshall,0.19047619047619047,0.0,0.25,PF,2006.0
7195,Draymond Green,0.2857142857142857,0.42857142857142855,0.25,PF,2015.0
7196,Draymond Green,0.38095238095238093,1.0,0.25,PF,2016.0
7197,Draymond Green,0.19047619047619047,0.8571428571428571,0.25,PF,2017.0
7212,Drew Gooden,0.2857142857142857,0.14285714285714285,0.25,PF,2004.0
7213,Drew Gooden,0.42857142857142855,0.14285714285714285,0.5,PF,2005.0
